City_id,City,Latitude,Longitude,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Description
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-16,19,6,4,322,8.28,01d,☀️,Ciel dégagé (jour)
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-17,22,6,4,325,8.4,01d,☀️,Ciel dégagé (jour)
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-18,24,7,4,331,8.42,01d,☀️,Ciel dégagé (jour)
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-19,29,4,3,23,7.67,02d,🌤️,Peu nuageux (jour)
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-20,31,6,4,100,8.07,04d,☁️,Couvert
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-21,34,5,3,128,9.0,01d,☀️,Ciel dégagé (jour)
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-22,24,5,3,314,9.0,10d,🌦️,Pluie intermittente
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-06-23,28,5,3,336,9.0,10d,🌦️,Pluie intermittente
FR000002,St Malo,48.649518,-2.0260409,2025-06-16,19,4,3,8,8.18,02d,🌤️,Peu nuageux (jour)
FR000002,St Malo,48.649518,-2.0260409,2025-06-17,20,5,3,334,8.48,01d,☀️,Ciel dégagé (jour)
FR000002,St Malo,48.649518,-2.0260409,2025-06-18,20,6,4,357,8.46,01d,☀️,Ciel dégagé (jour)
FR000002,St Malo,48.649518,-2.0260409,2025-06-19,25,7,4,22,7.28,03d,⛅,Nuages épars
FR000002,St Malo,48.649518,-2.0260409,2025-06-20,27,8,5,86,8.05,04d,☁️,Couvert
FR000002,St Malo,48.649518,-2.0260409,2025-06-21,30,6,4,66,9.0,01d,☀️,Ciel dégagé (jour)
FR000002,St Malo,48.649518,-2.0260409,2025-06-22,20,7,4,45,9.0,10d,🌦️,Pluie intermittente
FR000002,St Malo,48.649518,-2.0260409,2025-06-23,25,6,4,33,9.0,10d,🌦️,Pluie intermittente
