City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-08,19,7,4,311,7.73,10d,🌦️,Pluie intermittente
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-09,23,5,3,326,7.77,01d,☀️,Ciel dégagé
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-10,27,6,4,325,7.97,01d,☀️,Ciel dégagé
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-11,31,6,4,52,7.88,02d,🌤️,Peu nuageux
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-12,32,6,4,61,7.72,02d,🌤️,Peu nuageux
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-13,32,6,4,41,8.0,02d,🌤️,Peu nuageux
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-14,32,8,5,316,8.0,02d,🌤️,Peu nuageux
FR000001,Mont Saint Michel,48.6359541,-1.51146,2025-07-15,22,7,4,316,8.0,02d,🌤️,Peu nuageux
FR000002,St Malo,48.649518,-2.0260409,2025-07-08,18,8,5,312,7.75,02d,🌤️,Peu nuageux
FR000002,St Malo,48.649518,-2.0260409,2025-07-09,21,5,3,355,7.78,01d,☀️,Ciel dégagé
FR000002,St Malo,48.649518,-2.0260409,2025-07-10,24,6,4,351,8.03,01d,☀️,Ciel dégagé
FR000002,St Malo,48.649518,-2.0260409,2025-07-11,26,8,5,37,7.82,02d,🌤️,Peu nuageux
FR000002,St Malo,48.649518,-2.0260409,2025-07-12,27,8,5,50,7.73,01d,☀️,Ciel dégagé
FR000002,St Malo,48.649518,-2.0260409,2025-07-13,28,10,5,47,8.0,01d,☀️,Ciel dégagé
FR000002,St Malo,48.649518,-2.0260409,2025-07-14,26,9,5,306,8.0,02d,🌤️,Peu nuageux
FR000002,St Malo,48.649518,-2.0260409,2025-07-15,20,7,4,292,8.0,02d,🌤️,Peu nuageux
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-08,20,6,4,344,7.52,01d,☀️,Ciel dégagé
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-09,24,5,3,17,7.49,03d,⛅,Nuages épars
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-10,25,5,3,31,7.7,01d,☀️,Ciel dégagé
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-11,25,7,4,48,7.62,02d,🌤️,Peu nuageux
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-12,26,7,4,51,7.62,02d,🌤️,Peu nuageux
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-13,27,9,5,46,8.0,01d,☀️,Ciel dégagé
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-14,29,5,3,47,8.0,02d,🌤️,Peu nuageux
FR000003,Bayeux,49.2764624,-0.7024738,2025-07-15,26,6,4,307,8.0,04d,☁️,Couvert
FR000004,Le Havre,49.4938975,0.1079732,2025-07-08,17,10,5,314,7.4,10d,🌦️,Pluie intermittente
FR000004,Le Havre,49.4938975,0.1079732,2025-07-09,19,4,3,229,7.44,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-10,23,7,4,351,7.66,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-11,25,8,5,25,7.72,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-12,26,9,5,25,7.58,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-13,26,10,5,28,8.0,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-14,26,6,4,4,8.0,01d,☀️,Ciel dégagé
FR000004,Le Havre,49.4938975,0.1079732,2025-07-15,20,7,4,284,8.0,04d,☁️,Couvert
FR000005,Rouen,49.4404591,1.0939658,2025-07-08,22,6,4,346,7.32,10d,🌦️,Pluie intermittente
FR000005,Rouen,49.4404591,1.0939658,2025-07-09,26,5,3,333,7.42,01d,☀️,Ciel dégagé
FR000005,Rouen,49.4404591,1.0939658,2025-07-10,29,6,4,15,7.7,01d,☀️,Ciel dégagé
FR000005,Rouen,49.4404591,1.0939658,2025-07-11,31,6,4,50,7.85,01d,☀️,Ciel dégagé
